"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"06/03/2023","AQS","010730023","1","30.1","ppb","28","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/04/2023","AQS","010730023","1","27.3","ppb","25","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/05/2023","AQS","010730023","1","34","ppb","32","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/06/2023","AQS","010730023","1","23.3","ppb","22","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/07/2023","AQS","010730023","1","26.5","ppb","25","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/09/2023","AQS","010730023","1","32.8","ppb","30","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/10/2023","AQS","010730023","1","32.5","ppb","30","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/11/2023","AQS","010730023","1","6.5","ppb","6","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/12/2023","AQS","010730023","1","24.1","ppb","23","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/13/2023","AQS","010730023","1","11.5","ppb","10","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/14/2023","AQS","010730023","1","16.9","ppb","15","North Birmingham","21","88.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/15/2023","AQS","010730023","1","12","ppb","11","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/16/2023","AQS","010730023","1","18.5","ppb","17","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/17/2023","AQS","010730023","1","29.1","ppb","27","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/18/2023","AQS","010730023","1","21.8","ppb","20","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/19/2023","AQS","010730023","1","10.3","ppb","9","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/20/2023","AQS","010730023","1","19.8","ppb","18","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/21/2023","AQS","010730023","1","12.5","ppb","11","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/22/2023","AQS","010730023","1","17.6","ppb","16","North Birmingham","20","83.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
