"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/28/2023","AQS","010491003","3","17.1","ug/m3 LC","66","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/01/2023","AQS","010491003","3","21.6","ug/m3 LC","74","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/02/2023","AQS","010491003","3","2.1","ug/m3 LC","12","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/03/2023","AQS","010491003","3","6.7","ug/m3 LC","37","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/04/2023","AQS","010491003","3","2.5","ug/m3 LC","14","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/05/2023","AQS","010491003","3","4.7","ug/m3 LC","26","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/06/2023","AQS","010491003","3","14.7","ug/m3 LC","61","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/07/2023","AQS","010491003","3","12.6","ug/m3 LC","58","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/08/2023","AQS","010491003","3","13.8","ug/m3 LC","60","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/09/2023","AQS","010491003","3","19.8","ug/m3 LC","71","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/10/2023","AQS","010491003","3","10.1","ug/m3 LC","53","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/11/2023","AQS","010491003","3","6.8","ug/m3 LC","38","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/12/2023","AQS","010491003","3","5.7","ug/m3 LC","32","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/13/2023","AQS","010491003","3","4.4","ug/m3 LC","24","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/14/2023","AQS","010491003","3","4.2","ug/m3 LC","23","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/15/2023","AQS","010491003","3","5.1","ug/m3 LC","28","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/16/2023","AQS","010491003","3","19.6","ug/m3 LC","71","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/17/2023","AQS","010491003","3","5.2","ug/m3 LC","29","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/18/2023","AQS","010491003","3","2.7","ug/m3 LC","15","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/19/2023","AQS","010491003","3","4","ug/m3 LC","22","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/20/2023","AQS","010491003","3","3.7","ug/m3 LC","21","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/21/2023","AQS","010491003","3","14.8","ug/m3 LC","62","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/22/2023","AQS","010491003","3","20.6","ug/m3 LC","72","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/23/2023","AQS","010491003","3","16.9","ug/m3 LC","66","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/24/2023","AQS","010491003","3","12.4","ug/m3 LC","57","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/25/2023","AQS","010491003","3","6.8","ug/m3 LC","38","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/26/2023","AQS","010491003","3","7.6","ug/m3 LC","42","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
"03/27/2023","AQS","010491003","3","6.5","ug/m3 LC","36","CROSSVILLE","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2885670008786","-85.969858"
