"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/07/2023","AQS","010730023","2","2.3","ppb","3","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/08/2023","AQS","010730023","2","6.2","ppb","9","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/09/2023","AQS","010730023","2","1.3","ppb","1","North Birmingham","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/10/2023","AQS","010730023","2","0.8","ppb","0","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/11/2023","AQS","010730023","2","3.7","ppb","4","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/12/2023","AQS","010730023","2","2","ppb","3","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/13/2023","AQS","010730023","2","0.6","ppb","0","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/14/2023","AQS","010730023","2","0.5","ppb","0","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/15/2023","AQS","010730023","2","2.5","ppb","3","North Birmingham","19","79.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/21/2023","AQS","010730023","2","2.5","ppb","3","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/22/2023","AQS","010730023","2","3.5","ppb","4","North Birmingham","21","88.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/23/2023","AQS","010730023","2","2.6","ppb","3","North Birmingham","22","92.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/24/2023","AQS","010730023","2","1.6","ppb","1","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/25/2023","AQS","010730023","2","0.9","ppb","0","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/26/2023","AQS","010730023","2","4.5","ppb","6","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/27/2023","AQS","010730023","2","0.7","ppb","0","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/28/2023","AQS","010730023","2","2.9","ppb","3","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/29/2023","AQS","010730023","2","4.4","ppb","6","North Birmingham","21","88.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/30/2023","AQS","010730023","2","11.3","ppb","16","North Birmingham","18","75.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/31/2023","AQS","010730023","2","2.9","ppb","3","North Birmingham","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/01/2023","AQS","010730023","2","0.8","ppb","0","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/02/2023","AQS","010730023","2","4.4","ppb","6","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/03/2023","AQS","010730023","2","10.3","ppb","14","North Birmingham","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/04/2023","AQS","010730023","2","1.1","ppb","1","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/05/2023","AQS","010730023","2","1.3","ppb","1","North Birmingham","20","83.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/06/2023","AQS","010730023","2","1.4","ppb","1","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/07/2023","AQS","010730023","2","2.2","ppb","3","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/08/2023","AQS","010730023","2","1","ppb","1","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/09/2023","AQS","010730023","2","3.7","ppb","4","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/10/2023","AQS","010730023","2","2.7","ppb","3","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/11/2023","AQS","010730023","2","9.4","ppb","13","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/12/2023","AQS","010730023","2","14.3","ppb","20","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/13/2023","AQS","010730023","2","10.6","ppb","14","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/14/2023","AQS","010730023","2","1.1","ppb","1","North Birmingham","19","79.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/15/2023","AQS","010730023","2","1.3","ppb","1","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/16/2023","AQS","010730023","2","0.7","ppb","0","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/17/2023","AQS","010730023","2","0.8","ppb","0","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/18/2023","AQS","010730023","2","7.5","ppb","10","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/19/2023","AQS","010730023","2","6.9","ppb","9","North Birmingham","22","92.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/20/2023","AQS","010730023","2","4.7","ppb","6","North Birmingham","22","92.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/21/2023","AQS","010730023","2","3.5","ppb","4","North Birmingham","24","100.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
