"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/23/2023","AQS","010499991","1","0.048","ppm","44","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"03/24/2023","AQS","010499991","1","0.038","ppm","35","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"03/25/2023","AQS","010499991","1","0.047","ppm","44","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"03/26/2023","AQS","010499991","1","0.045","ppm","42","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"03/27/2023","AQS","010499991","1","0.053","ppm","49","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"03/28/2023","AQS","010499991","1","0.051","ppm","47","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"03/29/2023","AQS","010499991","1","0.055","ppm","51","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"03/30/2023","AQS","010499991","1","0.057","ppm","58","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"03/31/2023","AQS","010499991","1","0.049","ppm","45","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/01/2023","AQS","010499991","1","0.052","ppm","48","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/02/2023","AQS","010499991","1","0.051","ppm","47","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/03/2023","AQS","010499991","1","0.033","ppm","31","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/04/2023","AQS","010499991","1","0.028","ppm","26","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/05/2023","AQS","010499991","1","0.039","ppm","36","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/06/2023","AQS","010499991","1","0.035","ppm","32","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/07/2023","AQS","010499991","1","0.033","ppm","31","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/08/2023","AQS","010499991","1","0.04","ppm","37","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/09/2023","AQS","010499991","1","0.04","ppm","37","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/10/2023","AQS","010499991","1","0.054","ppm","50","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/11/2023","AQS","010499991","1","0.057","ppm","58","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/12/2023","AQS","010499991","1","0.06","ppm","67","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/13/2023","AQS","010499991","1","0.039","ppm","36","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
"04/14/2023","AQS","010499991","1","0.037","ppm","34","Sand Mountain","17","100.0000","44201","Ozone","047","22840","Fort Payne, AL","01","Alabama","049","DeKalb","34.2890010008786","-85.970065"
